Player Name,Score,Time
Player, 1620, 2024-04-08 18:48:56
Player, 1520, 2024-04-08 20:45:06
Player, 1840, 2024-04-08 21:51:07
Player, 2140, 2024-04-08 22:04:06
Player, 1520, 2024-04-08 22:05:23
Player, 2660, 2024-04-08 22:47:51
Player, 1200, 2024-04-08 23:42:49
Player, 1180, 2024-04-08 23:48:21
Player, 1180, 2024-04-08 23:59:15
Player, 1420, 2024-04-09 00:00:59
Player, 1720, 2024-04-09 00:27:10
Player, 1980, 2024-04-09 00:36:39
Player, 1580, 2024-04-09 01:24:56
Player, 1380, 2024-04-09 02:25:11
Player, 1100, 2024-04-09 16:19:54
Player, 960, 2024-04-09 16:22:19
Player, 2400, 2024-04-09 16:25:30
Player, 1420, 2024-04-09 16:29:30
Player, 1380, 2024-04-09 16:38:45
Player, 1740, 2024-04-09 16:40:41
Player, 3480, 2024-04-09 17:04:16
Player, 1860, 2024-04-09 17:07:29
